split, sceneId, startX, startY, startZ, startAngle, goalX, goalY, goalZ, dist, pathDist,complexity
train,Euharlee,-1.968,3.558,0,3.097,-0.77,-4.571,0,8.217,9.64,1.173
train,Euharlee,-1.968,3.558,0,3.097,0.453,-5.682,0,9.553,11.164,1.169
train,Euharlee,-0.052,3.565,0,2.496,0.453,-5.682,0,9.261,11.834,1.278
train,Euharlee,2.087,3.13,0,1.184,-2.473,-5.562,0,9.815,10.876,1.108
train,Euharlee,-1.968,3.558,0,3.097,-2.483,-3.391,0,6.968,6.968,1
train,Euharlee,2.087,3.13,0,1.184,0.453,-5.682,0,8.962,12.895,1.439
train,Euharlee,2.087,3.13,0,1.184,-2.57,-4.226,0,8.706,9.539,1.096
train,Euharlee,-1.918,1.2,0,5.229,-2.473,-5.562,0,6.785,6.797,1.002
train,Euharlee,-1.565,2.62,0,5.992,-0.77,-4.571,0,7.235,8.761,1.211
train,Euharlee,-0.134,-0.305,0,1.091,-2.473,-5.562,0,5.753,9.131,1.587
train,Euharlee,-1.918,1.2,0,5.229,0.631,-4.378,0,6.133,8.671,1.414
train,Euharlee,-1.565,2.62,0,5.992,0.453,-5.682,0,8.544,10.284,1.204
train,Euharlee,2.087,3.13,0,1.184,-0.77,-4.571,0,8.214,11.372,1.384
train,Euharlee,1.46,-0.353,0,1.332,-2.473,-5.562,0,6.527,10.515,1.611
train,Euharlee,2.087,3.13,0,1.184,-2.483,-3.391,0,7.962,8.706,1.093
train,Euharlee,-1.565,2.62,0,5.992,-2.473,-5.562,0,8.232,8.259,1.003
train,Euharlee,-0.052,3.565,0,2.496,0.631,-4.378,0,7.972,11.683,1.466
train,Euharlee,1.46,-0.353,0,1.332,-2.57,-4.226,0,5.59,9.184,1.643
train,Euharlee,-1.565,2.62,0,5.992,-2.573,-2.53,0,5.247,5.247,1
train,Euharlee,-0.052,3.565,0,2.496,2.184,-1.754,0,5.77,6.147,1.065
train,Euharlee,-1.918,1.2,0,5.229,2.184,-1.754,0,5.055,6.984,1.382
train,Euharlee,-1.918,1.2,0,5.229,-2.57,-4.226,0,5.465,5.465,1
train,Euharlee,2.079,1.231,0,2.059,-2.573,-2.53,0,5.982,6.823,1.141
train,Euharlee,-1.968,3.558,0,3.097,0.631,-4.378,0,8.351,11.013,1.319
train,Euharlee,0.493,1.749,0,1.19,-2.473,-5.562,0,7.89,8.769,1.111
train,Euharlee,-1.918,1.2,0,5.229,-0.77,-4.571,0,5.885,7.298,1.24
train,Euharlee,-0.052,3.565,0,2.496,-2.573,-2.53,0,6.596,6.784,1.029
train,Euharlee,0.493,1.749,0,1.19,0.631,-4.378,0,6.128,10.637,1.736
train,Euharlee,2.184,-1.754,0,1.893,-2.473,-5.562,0,6.015,12.844,2.135
train,Euharlee,-1.565,2.62,0,5.992,-2.57,-4.226,0,6.919,6.928,1.001
train,Euharlee,-1.565,2.62,0,5.992,-2.483,-3.391,0,6.08,6.088,1.001
train,Euharlee,-0.052,3.565,0,2.496,-2.57,-4.226,0,8.188,8.478,1.035
train,Euharlee,2.079,1.231,0,2.059,-2.606,-0.822,0,5.115,5.115,1
train,Euharlee,0.493,1.749,0,1.19,0.453,-5.682,0,7.432,10.787,1.451
train,Euharlee,0.493,1.749,0,1.19,-2.573,-2.53,0,5.264,5.735,1.089
train,Euharlee,1.46,-0.353,0,1.332,-1.968,3.558,0,5.202,5.202,1
train,Euharlee,0.493,1.749,0,1.19,-2.57,-4.226,0,6.715,7.431,1.107
train,Euharlee,2.184,-1.754,0,1.893,-2.57,-4.226,0,5.358,11.506,2.147
train,Euharlee,2.079,1.231,0,2.059,-2.473,-5.562,0,8.177,9.857,1.205
train,Euharlee,-1.918,1.2,0,5.229,0.453,-5.682,0,7.28,8.821,1.212
train,Euharlee,-0.134,-0.305,0,1.091,0.453,-5.682,0,5.409,11.155,2.062
train,Euharlee,1.46,-0.353,0,1.332,0.453,-5.682,0,5.423,12.54,2.312
train,Euharlee,2.079,1.231,0,2.059,-2.483,-3.391,0,6.494,7.686,1.184
train,Euharlee,2.079,1.231,0,2.059,-2.57,-4.226,0,7.169,8.519,1.188
train,Euharlee,-0.052,3.565,0,2.496,-2.473,-5.562,0,9.443,9.809,1.039
train,Euharlee,-2.606,-0.822,0,6.053,0.453,-5.682,0,5.743,6.76,1.177
train,Euharlee,2.087,3.13,0,1.184,-2.573,-2.53,0,7.331,7.843,1.07
train,Euharlee,2.079,1.231,0,2.059,0.631,-4.378,0,5.793,11.724,2.024
train,Euharlee,-1.968,3.558,0,3.097,-2.573,-2.53,0,6.118,6.118,1
train,Euharlee,-1.968,3.558,0,3.097,-2.57,-4.226,0,7.808,7.808,1
